window_size,projected_channels,F1,D,dropout,learning_rate,balanced_accuracy,avg_lag_samples,model_size_bytes,accuracy_score,lag_score,size_score,total_score,training_time_seconds,inference_time_seconds,timestamp,error
64,32,16,2,0.25,0.001,0.5660115543066059,42.79545454545455,227374,28.300577715330295,14.959257969138513,21.018504778762185,64.27834046323099,64.05100737999965,7.7475978629991005,2026-01-23T22:22:40.262926,
64,32,16,2,0.4,0.001,0.5535615253223798,54.59090909090909,227182,27.67807626611899,12.984871068193705,21.021583886813243,61.68453122112594,64.30301850099931,7.661799280002015,2026-01-23T22:23:52.076854,
64,64,16,2,0.25,0.001,0.5669379240250858,41.714285714285715,427822,28.34689620125429,15.154604244269517,18.037871901971556,61.53937234749536,100.8132710500031,9.09234472299795,2026-01-23T22:28:13.441700,
64,64,8,2,0.4,0.001,0.5496917510316386,40.266666666666666,415790,27.484587551581928,15.420161243666167,18.204216255683598,61.108965050931694,85.94788787400103,8.199764459001017,2026-01-23T22:26:39.279461,
64,32,8,2,0.25,0.001,0.5471422984207803,67.0,217518,27.357114921039017,11.18838095261031,21.17714980285647,59.7226456765058,65.89354087000174,7.524675024997123,2026-01-23T22:20:14.633888,
64,32,8,2,0.4,0.001,0.5124557895736537,59.95454545454545,217518,25.622789478682684,12.175445740327225,21.17714980285647,58.97538502186638,64.53600983500291,7.646824066003319,2026-01-23T22:21:28.066682,
64,64,8,2,0.25,0.001,0.5043697969195271,39.53488372093023,416238,25.218489845976354,15.556168066742432,18.19799517468917,58.972653087407956,86.50135740500264,8.708133400999941,2026-01-23T22:25:04.055570,
64,64,16,2,0.4,0.001,0.5531586656406121,62.68888888888889,427630,27.657933282030605,11.782426694058556,18.040514361898268,57.48087433798743,98.36580086200047,8.941323265000392,2026-01-23T22:30:03.363227,
64,96,8,2,0.4,0.001,0.4900059721077363,61.348837209302324,614894,24.500298605386813,11.97342700815889,15.63870502503526,52.11243063858096,116.50691519300017,9.441901101003168,2026-01-23T22:33:55.958322,
64,96,16,2,0.4,0.001,0.4732824945049483,64.09302325581395,628526,23.664124725247415,11.585560587547498,15.476899263982096,50.72658457677701,141.99221258800026,10.103917806001846,2026-01-23T22:38:33.351943,
64,96,8,2,0.25,0.001,0.45482069642083034,59.53658536585366,614766,22.741034821041517,12.236665340668788,15.640232316896446,50.61793247860675,116.12024479899992,9.135507588998735,2026-01-23T22:31:50.686102,
64,96,16,2,0.25,0.001,0.4851115188439618,74.19047619047619,628782,24.25557594219809,10.26346098242841,15.473876727273808,49.99291365190031,141.6874366939992,9.721757327002706,2026-01-23T22:36:01.924357,
